SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
b4289ab0a9a00034c1fbce477b2c4ded	Bean	40758	147	4	176	1707068	2.387602603	83.52272727	Core
cc761daf51f27c423da57f3f1f0ff5cc	Bean	232639	134	4	176	1707068	13.6279867	76.13636364	Core
45e3696d78d57fc35094a6cf67e6414b	Bean	14772	95	4	176	1707068	0.865343384	53.97727273	Core
5648dccee530d68ceb3e4d7d22cf8756	Bean	19955	92	4	176	1707068	1.168963392	52.27272727	Core
83e948f389f9d97b0c975afc880989e8	Bean	157335	92	5	176	1707068	9.216680296	52.27272727	Core
496ecde24f9ab698992413d3d4f04b5f	Bean	5258	89	4	176	1707068	0.308013506	50.56818182	Core
9008764305469acb079f239b4f29a8f0	Bean	25480	79	1	176	1707068	1.492617752	44.88636364	Flexible
9ac3bb1d7dedb08a012692a6f536b5af	Bean	14192	79	4	176	1707068	0.831366999	44.88636364	Flexible
fd49e69f94c6e1d27fa06bfa3ee94591	Bean	13012	79	3	176	1707068	0.762242629	44.88636364	Flexible
453cf07d3e96e304f23fbde7b355fe70	Bean	6461	70	4	176	1707068	0.378485216	39.77272727	Flexible
7ff346973a282aa55de296afdb5d74af	Bean	5832	63	4	176	1707068	0.341638412	35.79545455	Flexible
0f18144d308ada95632ab5193d92073f	Bean	423329	62	4	176	1707068	24.79860205	35.22727273	Flexible
945184b6386c192c0066e0a98a154780	Bean	36868	59	4	176	1707068	2.159726502	33.52272727	Flexible
bdf8a26094624622d68509a87fa75ba7	Bean	82425	59	5	176	1707068	4.828454403	33.52272727	Flexible
c06ccd1f7d57566ef669942328b1a946	Bean	12883	56	5	176	1707068	0.754685812	31.81818182	Flexible
d32e579b3ae7b2aae8d5bf9f027c29af	Bean	2962	54	4	176	1707068	0.173513885	30.68181818	Flexible
db66071d30f1e311d4458035a349d027	Bean	1839	52	4	176	1707068	0.107728573	29.54545455	Flexible
92f1720367db58c68a96eceb9feb416a	Bean	13859	50	4	176	1707068	0.811859867	28.40909091	Flexible
f8aeec3c1ff0f4e7e1c829e4db0618d9	Bean	4389	50	3	176	1707068	0.257107508	28.40909091	Flexible
43fddf1528d4a98928fd8c3a8ac23bfd	Bean	23285	49	3	176	1707068	1.364034707	27.84090909	Flexible
e57c5df6a9b3b982472e7754ed31f313	Bean	11674	49	4	176	1707068	0.683862623	27.84090909	Flexible
9af3467db68cf6063627304cecd46a65	Bean	2478	48	3	176	1707068	0.145161177	27.27272727	Flexible
c2d5b1fe7e78d3d6f19b77c071c5c0f8	Bean	1734	48	4	176	1707068	0.101577676	27.27272727	Flexible
e5c19d7800b18015f3a917fc015fc42f	Bean	307	47	4	176	1707068	0.017984052	26.70454545	Flexible
7d88cb85b80e0024b54a61e7a6da3bf0	Bean	4297	45	4	176	1707068	0.251718151	25.56818182	Flexible
a843fc211658b32d18ca8567f97f1a1e	Bean	5864	45	4	176	1707068	0.343512971	25.56818182	Flexible
3ebe761bfb1238c87195d431f41bf976	Bean	691	43	4	176	1707068	0.040478762	24.43181818	Flexible
e1c7d97fe13e9127d225d76a1feb8c78	Bean	5294	41	4	176	1707068	0.310122385	23.29545455	Flexible
397b2f8e42f9fa4f7e37216716ebfcfe	Bean	3911	40	4	176	1707068	0.22910628	22.72727273	Flexible
6539f59062d16f8454aa0eeb82a123c1	Bean	1220	40	4	176	1707068	0.071467569	22.72727273	Flexible
65d43491988bfe557da4d86a5ba25dae	Bean	589	40	4	176	1707068	0.034503605	22.72727273	Flexible
58d311836793b18400e882b9ecc57579	Bean	34206	39	2	176	1707068	2.00378661	22.15909091	Flexible
8df2b2e6c1cb64bd18b81d5bae7f0898	Bean	1870	39	3	176	1707068	0.109544552	22.15909091	Flexible
d15bd1dcb9de71d7452648673a59f5b8	Bean	2151	39	3	176	1707068	0.126005525	22.15909091	Flexible
68bcd8805e49c819041cec620e13805f	Bean	7684	38	3	176	1707068	0.450128524	21.59090909	Flexible
497a26126c9e726c768bdec79e8c4e9b	Bean	1736	37	3	176	1707068	0.101694836	21.02272727	Flexible
c2a787cf867ebfdce216002bcc8a94e1	Bean	920	37	3	176	1707068	0.053893577	21.02272727	Flexible
f09acd43cd89f77a5e47d94f61e550a4	Bean	1281	37	3	176	1707068	0.075040947	21.02272727	Flexible
05132b1dde6536848b2b69d54c367c2a	Bean	2372	36	4	176	1707068	0.1389517	20.45454545	Flexible
75b267d822e9bc52dd40fd7fce8187f1	Bean	8991	36	1	176	1707068	0.526692551	20.45454545	Flexible
3e23e42b88e2bc6eb258186170561051	Bean	863	35	4	176	1707068	0.050554518	19.88636364	Flexible
428e4a80a1e14a59d72810a32f62f434	Bean	1207	35	4	176	1707068	0.070706029	19.88636364	Flexible
4608fae4bbc9964cdd17af8782f2155e	Bean	2362	35	4	176	1707068	0.1383659	19.88636364	Flexible
206d00445a497d2441220533e0f6435a	Bean	1090	34	4	176	1707068	0.063852172	19.31818182	Flexible
70a60612f186462ac3e8cd7ffb50690c	Bean	1322	34	4	176	1707068	0.077442726	19.31818182	Flexible
db71e335bc263a02d10d6331d567e4ba	Bean	4128	34	4	176	1707068	0.241818135	19.31818182	Flexible
e898620b82d3ae5814a1888c8888639a	Bean	5828	34	4	176	1707068	0.341404092	19.31818182	Flexible
f37fc1dccfeba0004cbeb4f1ad6083c6	Bean	2985	34	3	176	1707068	0.174861224	19.31818182	Flexible
0d34e514b2d0d3a14fbfa27a9717f5ae	Bean	946	33	3	176	1707068	0.055416656	18.75	Flexible
0d46ccea29d8ee8e60903f6238962a07	Bean	6362	33	2	176	1707068	0.372685798	18.75	Flexible
3ddbc421946290dbca284dde95cc2d56	Bean	7503	33	2	176	1707068	0.439525549	18.75	Flexible
c3fe6ae58bb1e240a989dac6b2708532	Bean	1702	33	3	176	1707068	0.099703117	18.75	Flexible
e61a7bc42a30f0ca4f170b5e3f6cad0c	Bean	5101	33	2	176	1707068	0.29881645	18.75	Flexible
09de3dde6c465b74bcb8e6f8a478e4e0	Bean	783	32	4	176	1707068	0.04586812	18.18181818	Flexible
60e9ccd9b2c6ca734099730ca97bcbb4	Bean	1393	32	3	176	1707068	0.081601905	18.18181818	Flexible
ab6b7b90747341ce39f82d0a22a1d37d	Bean	1364	32	4	176	1707068	0.079903085	18.18181818	Flexible
cff60bed359051dd65fe850fd0bd07e1	Bean	397	32	2	176	1707068	0.02325625	18.18181818	Flexible
d6efd2da2728fd74ded268122ee05036	Bean	2293	32	3	176	1707068	0.134323882	18.18181818	Flexible
06f825b512d903b9230e1a55d87359ee	Bean	397	30	3	176	1707068	0.02325625	17.04545455	Flexible
a0901407705992dc213ac509ede97d47	Bean	944	30	3	176	1707068	0.055299496	17.04545455	Flexible
