Sample ID_16S	16S_Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	pielou_e_16S	observed_otus_16S	shannon_16S	Sample ID_ITS	pielou_e_ITS	observed_otus_ITS	shannon_ITS	Ratio_observed_otus
SRR11639981	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24P-16S reads of oak Pericarp_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.072158874	4	0.144317748	SRR11639928	0.387210875	13	1.432850501	0.307692308
SRR11639982	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	23P-16S reads of oak Pericarp_Rep 23	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.132618005	6	0.342812569	SRR11639929	0.530655077	6	1.371723474	1
SRR11639984	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21P-16S reads of oak Pericarp_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.312929582	8	0.938788746	SRR11639932	0.484121682	17	1.978829385	0.470588235
SRR11639985	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	20P-16S reads of oak Pericarp_Rep 20	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.386505001	10	1.283941821	SRR11639933	0.151543377	17	0.619427922	0.588235294
SRR11639986	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19P-16S reads of oak Pericarp_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.498897548	6	1.289631453	SRR11639934	0.386845621	7	1.086012959	0.857142857
SRR11639987	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18P-16S reads of oak Pericarp_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.20592615	6	0.532311376	SRR11639935	0.550162072	11	1.903248069	0.545454545
SRR11639988	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	17P-16S reads of oak Pericarp_Rep 17	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.18308242	5	0.425104214	SRR11639936	0.524772745	12	1.881290614	0.416666667
SRR11639990	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16P-16S reads of oak Pericarp_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.33159124	13	1.227033393	SRR11639937	0.332496561	10	1.104529667	1.3
SRR11639991	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15P-16S reads of oak Pericarp_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.081516334	6	0.210716666	SRR11639938	0.541106289	10	1.797516185	0.6
SRR11639992	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	14P-16S reads of oak Pericarp_Rep 14	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.413603676	7	1.161132315	SRR11639939	0.495489772	4	0.990979544	1.75
