SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
b2844470cafccf795bd6bd5f951a7f1b	Bean	3651	135	4	186	195300	1.869431644	72.58064516	Core
be2d396d5a772c989d0d9f136c78c9bf	Bean	2244	134	4	186	195300	1.149001536	72.04301075	Core
d1f9edaed21fb1110699a2a4be609539	Bean	4036	130	4	186	195300	2.06656426	69.89247312	Core
f43122d1b872ab9cd043b89c153fce62	Bean	11102	121	4	186	195300	5.684587814	65.05376344	Core
66ffc9027c7046d5c021be1b68f9553b	Bean	8275	116	4	186	195300	4.237071173	62.3655914	Core
1686e3ecc6e6580aac586bc21b037acc	Bean	1980	114	4	186	195300	1.013824885	61.29032258	Core
b466bf8b0d7c95c9544178d269a5bbba	Bean	1088	108	4	186	195300	0.557091654	58.06451613	Core
a0e837bd83d53c6b0b6f69c34a27ed89	Bean	549	99	4	186	195300	0.281105991	53.22580645	Core
675ed8841b3c5131c00ed5ebb304bdba	Bean	36149	94	2	186	195300	18.50947261	50.53763441	Core
030962db9d46983f45887ce7c09dda70	Bean	2987	93	1	186	195300	1.529441884	50	Flexible
68547c28d02db6381956aa808d447dd5	Bean	16395	93	1	186	195300	8.394777266	50	Flexible
decacb26b93f9e8bc5708e16d5c188fd	Bean	767	90	1	186	195300	0.392729135	48.38709677	Flexible
954c617d4484e7696d6ed6258d27dd27	Bean	3467	88	4	186	195300	1.775217614	47.31182796	Flexible
698b6f2b78473b3ce6495b4b4671836a	Bean	617	85	2	186	195300	0.315924219	45.69892473	Flexible
f3d9712f003a0e892a7a9d613d3f7c8c	Bean	1375	84	1	186	195300	0.704045059	45.16129032	Flexible
957bd35c269036eb911a617463617201	Bean	2222	83	4	186	195300	1.137736815	44.62365591	Flexible
a67bc4b419df2b2d4b3edc2fcdbeb16c	Bean	750	82	1	186	195300	0.384024578	44.08602151	Flexible
96fd44e717ba927b629ff1a7a3041ce9	Bean	391	81	1	186	195300	0.200204813	43.5483871	Flexible
ea6039ef3823def45e7eb2581dac1dfa	Bean	545	81	3	186	195300	0.27905786	43.5483871	Flexible
82296e76f994b0a5ad1eca6c16772bab	Bean	1446	80	4	186	195300	0.740399386	43.01075269	Flexible
39e2a4c2eaa5a0acecf79fe777dd26ec	Bean	1039	79	4	186	195300	0.532002048	42.47311828	Flexible
a59945f9d0e60ecbeb7f551b02f6e185	Bean	1841	79	4	186	195300	0.94265233	42.47311828	Flexible
78fd8cb239f74f93e18b927ea682dee7	Bean	2522	78	4	186	195300	1.291346646	41.93548387	Flexible
af943ab249157928feed6fc05f29cf4a	Bean	1110	78	2	186	195300	0.568356375	41.93548387	Flexible
c5ab5b484584f035404138b2ecd0d297	Bean	506	76	4	186	195300	0.259088582	40.86021505	Flexible
61a6ddcbf69ca9fea376a977d1ab8f9f	Bean	590	71	4	186	195300	0.302099334	38.17204301	Flexible
3132cf85d449c858e87674dcbc0e6d16	Bean	356	70	1	186	195300	0.182283666	37.6344086	Flexible
b8fe600476c530d38dc5d7f3a450cfae	Bean	505	70	4	186	195300	0.258576549	37.6344086	Flexible
cae41a03b319ef184976fc9ced161380	Bean	225	70	1	186	195300	0.115207373	37.6344086	Flexible
c8bf7e70d51c0c7b552f76a90b192ef3	Bean	7241	68	4	186	195300	3.707629288	36.55913978	Flexible
8489d1dc5b007aade2a1f931b27dc312	Bean	324	67	3	186	195300	0.165898618	36.02150538	Flexible
c39ddb3469eef1b997ee59c419b57d26	Bean	521	66	3	186	195300	0.266769073	35.48387097	Flexible
c0328581dd6e0d44b82be459f869a226	Bean	268	65	2	186	195300	0.137224782	34.94623656	Flexible
5b438db4d48237ec1f0c146017cc422d	Bean	696	63	1	186	195300	0.356374808	33.87096774	Flexible
30f0545ca69c7ec4067aac95c7b94f48	Bean	349	62	1	186	195300	0.178699437	33.33333333	Flexible
0820e5fb63a50541b31298c159fdbee1	Bean	579	60	3	186	195300	0.296466974	32.25806452	Flexible
2d36a57cf1bb874dcdcdc41c24ee1805	Bean	509	60	1	186	195300	0.26062468	32.25806452	Flexible
f46e74cc254b5a8cdb5f8d5b9357ca0d	Bean	518	60	4	186	195300	0.265232975	32.25806452	Flexible
5836f1857c58ddb7585ae2d90d5e8526	Bean	185	59	1	186	195300	0.094726062	31.72043011	Flexible
9796f17064409a1fa8e454e51af2dc12	Bean	2243	59	4	186	195300	1.148489503	31.72043011	Flexible
043253318159c3ef4d13c9bc0bb0cc39	Bean	550	58	4	186	195300	0.281618024	31.1827957	Flexible
1852bdd5773e9999d877709985630fc2	Bean	213	58	2	186	195300	0.10906298	31.1827957	Flexible
ff0dc877f7a8aff04b87c3bd90eeb72b	Bean	347	58	4	186	195300	0.177675371	31.1827957	Flexible
db6b27a204fe5918d6af00543360ee7d	Bean	753	57	3	186	195300	0.385560676	30.64516129	Flexible
87a064b3f8daff8a08a02c2845da4279	Bean	647	56	4	186	195300	0.331285202	30.10752688	Flexible
cd61da468f291ccf2b8ea7b7ed2ff343	Bean	1034	56	4	186	195300	0.529441884	30.10752688	Flexible
14dcf5fc3ec87e9f085e4a77d30ecd16	Bean	267	54	1	186	195300	0.13671275	29.03225806	Flexible
