SampleID	Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	bray1	bray2	pielou_e	faith_pd	jaccard1	jaccard2	observed_otus	shannon	unweighted1	unweighted2	weighted1	weighted2
SRR11639981	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24P-16S reads of oak Pericarp_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.394643196	-0.026035726	0.072158874	1.042350444	-0.090252512	-0.125315403	4	0.144317748	-0.130857249	0.054575791	-0.017908198	-0.000310302
SRR11639984	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21P-16S reads of oak Pericarp_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.122593815	-0.001416136	0.312929582	1.157191701	0.047830754	-0.268924721	8	0.938788746	-0.099459277	-0.199776169	-0.010049359	-0.0000331
SRR11639987	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18P-16S reads of oak Pericarp_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.375523528	-0.000932967	0.20592615	1.26378545	-0.202932084	-0.041174018	6	0.532311376	0.001716108	0.157933282	-0.015792909	-0.002126087
SRR11639991	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15P-16S reads of oak Pericarp_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.402284662	-0.020640536	0.081516334	1.185414651	-0.209915675	-0.084281685	6	0.210716666	-0.078211924	-0.085865267	-0.017982596	-0.00072507
SRR11639994	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	12P-16S reads of oak Pericarp_Rep 12	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.409672282	-0.028630578	0.010708972	0.84180086	-0.181704093	0.072270526	2	0.010708972	-0.212748367	-0.043130496	-0.018399032	-0.000153243
SRR11639997	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	9P-16S reads of oak Pericarp_Rep 9	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.406696877	-0.026079851	0.028975724	1.002963069	-0.145310128	-0.081261372	4	0.057951448	-0.150593176	-0.115407327	-0.018341497	-0.000224785
SRR11640001	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	6P-16S reads of oak Pericarp_Rep 6	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.408986086	-0.029945773	0.04806522	1.018647137	-0.305671987	0.210277026	4	0.09613044	-0.140539949	0.046659362	-0.018039572	-0.000413113
SRR11640004	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	3P-16S reads of oak Pericarp_Rep 3	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.212532051	0.031616564	0.300124336	3.162395603	0.430208276	0.22962438	28	1.442804203	0.482525583	-0.031205006	-0.018006657	0.000584889
SRR11640034	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24E-16S reads of oak Embryo_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.294631142	-0.004959569	0.297939144	1.75132198	0.345702499	0.15931388	13	1.102505842	0.195245432	0.113094318	-0.013098296	-0.003370276
SRR11640088	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2E-16S reads of oak Embryo_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.534428875	-0.147767073	0.162678043	1.655162121	0.392861932	0.159082596	12	0.583194685	0.171864183	0.160399952	0.009666812	0.023682169
