SampleID	Feature Count	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	bray1	bray2	pielou_e	jaccard1	jaccard2	observed_otus	shannon
SRR11639928	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24P-ITS reads of oak Pericarp_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.299719797	-0.507243205	0.387210875	0.131629855	-0.045760931	13	1.432850501
SRR11639929	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	23P-ITS reads of oak Pericarp_Rep 23	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.208798676	-0.181560272	0.530655077	0.232740723	0.074646364	6	1.371723474
SRR11639930	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	8E-ITS reads of oak Embryo_Rep 8	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.446420454	-0.010012561	0.336815151	0.276225346	0.210845913	10	1.118875715
SRR11639931	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	22P-ITS reads of oak Pericarp_Rep 22	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.209596417	0.030609606	0.212332125	-0.185312324	-0.30853753	12	0.761202705
SRR11639932	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21P-ITS reads of oak Pericarp_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.150251609	0.114761818	0.484121682	-0.102478782	-0.212237997	17	1.978829385
SRR11639933	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	20P-ITS reads of oak Pericarp_Rep 20	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.359159385	-0.372278264	0.151543377	-0.010890866	-0.12250514	17	0.619427922
SRR11639934	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19P-ITS reads of oak Pericarp_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.371790577	-0.325403779	0.386845621	0.046716715	-0.123702312	7	1.086012959
SRR11639935	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18P-ITS reads of oak Pericarp_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.348755254	-0.081218226	0.550162072	-0.093308896	-0.051410284	11	1.903248069
SRR11639936	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	17P-ITS reads of oak Pericarp_Rep 17	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.353619017	-0.145706005	0.524772745	0.04048968	-0.087714227	12	1.881290614
SRR11639937	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16P-ITS reads of oak Pericarp_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.455759195	-0.041494055	0.332496561	0.147510071	-0.279616356	10	1.104529667
SRR11639938	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15P-ITS reads of oak Pericarp_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.26685285	-0.43566929	0.541106289	0.272329511	-0.170093587	10	1.797516185
SRR11639939	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	14P-ITS reads of oak Pericarp_Rep 14	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.438592024	-0.095117105	0.495489772	0.398840343	-0.019459655	4	0.990979544
SRR11639940	1071	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	ITS1	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	13P-ITS reads of oak Pericarp_Rep 13	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.455048808	-0.022947646	0.0933275	0.296173465	-0.041489165	5	0.216699745
