SampleID	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	read_count	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Time	Microbe_collection	Seed_number	Seed_mass	bray1	bray2	faith_pd	jaccard1	jaccard2	observed_otus	shannon	unweighted1	unweighted2	weighted1	weighted2	pielou_e
S01-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2004	Chile	Mechanical	NA	Field	Total		Soaking	1000		-0.000536882	0.048541593	138.1997168	-0.016026232	0.135962939	492	6.742823394	0.278938676	-0.033996532	0.183170476	0.264299044	0.754018726
S01-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2004	Chile	Mechanical	NA	Lab	Total		Soaking	200		-0.074586955	0.083070745	15.65981523	0.101577601	-0.099847288	31	0.766686881	-0.241287934	0.338904829	-0.674179722	-0.185034183	0.154755047
S02-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Field	Total		Soaking	1000		0.468147192	-0.355525241	29.02859933	-0.197259494	-0.243090511	28	1.582919767	-0.024346056	0.173086311	0.661385643	-0.501928985	0.329270418
S02-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Lab	Total		Soaking	200		0.132468341	0.291192869	43.67267879	-0.124057205	0.01242661	111	4.966015535	0.110403832	-0.015467047	0.239069521	0.150550551	0.730896612
S03-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2012	Chile	Mechanical	NA	Field	Total		Soaking	1000		0.468344843	-0.36093363	17.90670165	-0.176957027	-0.228646958	24	1.476893306	-0.060227017	-0.120934331	0.73226469	-0.604554106	0.322116769
S03-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2012	Chile	Mechanical	NA	Lab	Total		Soaking	200		-0.362415824	-0.254696981	14.77203649	-0.03045623	-0.092999489	61	2.017184682	-0.217657222	-0.105006039	-0.609862795	-0.145580048	0.34012376
S04-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Field	Total		Soaking	1000		-0.297615105	-0.133462244	39.90876846	0.183050131	-0.061235356	58	2.789335307	0.073639507	-0.094796448	-0.267121118	0.015077069	0.476159842
S04-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Lab	Total		Soaking	200		-0.003355687	0.095716763	10.36558291	-0.137913923	-0.245137404	24	1.015675424	-0.200687456	-0.139715371	-0.631428954	-0.158622929	0.221523169
S05-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Field	Total		Soaking	1000		-0.422694606	-0.293014411	11.38202299	0.31097689	-0.125641791	32	1.787708974	-0.120540529	-0.108426715	-0.587607246	-0.164595169	0.357541795
S05-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Lab	Total		Soaking	200		-0.259961946	-0.112718572	36.80503937	0.043041298	-0.029639159	132	4.685952683	-0.045505339	0.256538446	-0.178428721	-0.00858776	0.665203083
S06-H0	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Field	Total		Soaking	1000		-0.146867543	0.03578392	17.19112308	0.276339785	-0.097017964	41	1.646155813	-0.246333584	0.316877241	-0.718079076	-0.196717369	0.307258952
S06-H24	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	gyrB	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015			2010	France	Mechanical	NA	Lab	Total		Soaking	200		-0.072699957	0.044991501	8.216073774	0.210299341	-0.266280783	27	1.804646991	-0.341193783	-0.128591987	-0.232663323	0.00823011	0.37953516
