SV	Group	Taxonomy	Confidence	Gene	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxon	Core_Specific_Plant
82296e76f994b0a5ad1eca6c16772bab	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica	0.999926237	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_metachromatica	Alternaria metachromatica-1	Core
205b419fe116e41fadc024f224b081e2	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica	0.999994725	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_metachromatica	Alternaria metachromatica-2	Core
b6d82aba922565d5f5d65e1f7ee61745	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica	0.999836422	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_metachromatica	Alternaria metachromatica-3	Core
954c617d4484e7696d6ed6258d27dd27	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.999999836	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria		Alternaria sp	Core
f43122d1b872ab9cd043b89c153fce62	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_perangustum	0.777027477	ITS1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_perangustum	Cladosporium perangustum-1	Core
b466bf8b0d7c95c9544178d269a5bbba	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_acuminata	0.99639049	ITS1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_acuminata	Gibberella acuminata	Core
1686e3ecc6e6580aac586bc21b037acc	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.999179821	ITS1	Fungi	Ascomycota	Dothideomycetes	Capnodiales		Unclassified Capnodiales		Unclassified Capnodiales	Core
c8bf7e70d51c0c7b552f76a90b192ef3	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae	0.999928486	ITS1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Unclassified Sclerotiniaceae		Unclassified Sclerotiniaceae	Core
1eb18e3b421a69797a1ed159b09425bd	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.999978057	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria			Core
2172a289ed7634cf09ec08bec77740f0	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__unidentified	0.992811242	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	unidentified		Core
3a706eaaa422102c1e19bf373181291a	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_alternatum	0.99997511	ITS1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_alternatum		Core
66ffc9027c7046d5c021be1b68f9553b	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.953577826	ITS1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium			Core
762c56a996244b82b633bded32dba4cd	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_perangustum	0.916334275	ITS1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_perangustum		Core
78fd8cb239f74f93e18b927ea682dee7	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_vesicarium	0.74043925	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_vesicarium		Core
9221f14e51b6043515db72b7b8901b68	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.999653902	ITS1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria			Core
