SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
S01-H0			1	11		2	5	30	379	3	21	4	5
S01-H24			1	1			2		15		694		
S02-H0		3				11	9	13	3		167		
S02-H24	5	11	12		2	7	35	1	47		195	5	
S03-H0	1	3		3		12	97	3	20		80	1	3
S03-H24		1	2				35				438		
S04-H0	1		197			4	31	3	471		192		
S04-H24						1	3		5		819		
S05-H0		1	12	3	1		11	4	239		677	1	
S05-H24	2	1		7	7	48	36	12	95		150		
S06-H0		1	1			1	17	9	14		915		
S06-H24				2		374	251	1	293		16	3	
S07-H0	1	1		10	8	14	17	28	35	1	54	1	1
S07-H24					12	5	118	2	301		133		
S08-H0			10	19	6	28	50	36	74		105	9	
S08-H24		13	5			6	16	3	26		90	6	
S09-H0	1	1	8	15	3	2	94	50	69	8	17	2	
S09-H24		6				2	17	35	58	2	40		
S10-H0	1		1	5		2	5	16	3	1	4	2	
S10-H24		2	1	2		1	8	4	5		24		
S11-H0	2		5	9		13	12	46	59	9	60	2	19
S11-H24	7	3	2	3	1	2	17	7	194		94	4	5
S12-H0		7	24	13	123	15	63	20	103		360	8	2
S12-H24					93	8			109		722	1	
S13-H0	8	17		11	2	155	2	104	29	1	26	11	62
S13-H24	3	1		1		838		7	1		15		
S14-H0	1		7	8	1	6	5	10	20		22	2	1
S14-H24	1	3	6			3	10	1	47		27		
S15-H0			12	12	16	1	64	19	219	1	152		
S15-H24			169		1	2	1	4	694		76		
S16-H0		2		71			2	158	11	4			
S16-H24	1	15		8	1	4	10	129	137	7	171		
S17-H0			2	28		7	11	58	11	1	2		
S17-H24		2	7	3	1	6	18	11	80	12	39		
S18-H0		99	12	3	15	8	22	5	89	1	676	5	10
S18-H24			12			1	1		265		1	1	2
S19-H0	1	132	3	8	4	78	6	30	110	1	326		8
S19-H24					11				8		8		
S20-H0	5	7	8				10	13	46		28	3	
S20-H24	8		11		14		8	7	39		50		
S21-H24					7			1	4		11		
S22-H0	4	8		18			3	86	19	2	19	4	
S22-H24	3	7	1	19		2	6	56	125		99	4	
S23-H0	2	6	2	17		3	5	50	22	4	36	3	
S23-H24			33	6	5		29	45	42		133		
S24-H0	3	24				1	11	12	11		38		
S24-H24		42	1			1			9		445		
S25-H0	1		62	7	10		17	82	270	9	270		
S25-H24			42	1	18	2	3	27	331	6	244	2	
S26-H0			209						12		12		
S26-H24		4	465				5		91		278		2
S27-H0		16	20		13		91	12	33	2	59		
S27-H24	7	3	34		2		1	20	29		290		
S28-H0							903		1		5		
S28-H24			1				94		1		2		
ERR2640150					1								
ERR2640151													
ERR2640152													
ERR2640153					2								
ERR2640154													
ERR2640155													
ERR2640156													
ERR2640157													
ERR2640158					1								
ERR2640159													
ERR2640209													
ERR2640210													
ERR2640211					1								
ERR2640212													
ERR2640213													
ERR2640214													
ERR2640215													
ERR2640216													
AST1a			41	43	22	10	20	49	42		376	7	13
AST1b			26	7	50	52	18	277	249	4	20	29	4
AST1c			83	28	87	21	16	416	77		67	2	4
AST2a			8	10	15	2	382	12	105		53	3	3
AST2b		2		23	2	3	65	44	4		31	4	
AST2c			3	37	11	10	202	95	45	1	250	5	
AST3a		3	8	4	1	70	501	52	51		45	4	8
AST3b				5	4	1	153	23	4		677		38
AST3c		16	9	7	6	1	31	46	57		538		2
AVI1a		1	4	10	110	14	220	10	256		134	2	25
AVI1b			2	10	44	3	8	10	28		843	3	4
AVI1c			3	15	23	10	126	18	23		27		498
AVI2a		1	1	39	8	7	25	107	41	5	137	11	14
AVI2b			308	3	105	1	452	10	16		31	3	4
AVI2c	1		3	26	1	173	18	86	20		156	9	12
AVI3a		4	3	8	2	65	13	44	15	1	38	1	5
AVI3b	1		15	12	6	6	34	85	167	2	47	2	8
AVI3c		2	5	3	2	14	11	18	3	3	320		397
BOS1a				13	4	4	525	56	61		98	2	6
BOS1b			7	3		2	10	20	23		799	9	4
BOS1c			26	3	1	20	6	5	1		527		12
BOS2a		8	14	14	7	19	226	28	104	1	431	1	3
BOS2b				6	4		132	3	106	1	709		1
BOS2c			1	3	4		110	3	99		731		5
BOS3a		63	11	5	6	33	255	21	23	4	103		7
BOS3b		2	39			34	12	2	75		706		8
BOS3c			1	1	8	1	8	39	49		773		1
COL1a			3	11	33	42	16	9	116		338	2	7
COL1b			2	1	17	2	99	2	12		811		
COL1c		3	5	12	19	58	327	21	152		121	2	98
COL2a		2	9	15	11	226	179	20	31	1	237		62
COL2b			3	6	25	6	60	41	52	1	349	2	12
COL2c			9	19	8	10	46	98	114	1	338	3	9
COL3a			7	3	5	15	14	9	224		340		14
COL3b		1	3		4	481	53	2	18		33	1	31
COL3c					1	196	49		14		632		23
EXP1a			2	3	6	7	12	3	176		660	2	2
EXP1b			2	3		3	6	31	880		11		
EXP1c				1			1	1	4		978		
EXP2a			7	20	2	5	319	24	48		250	2	127
EXP2b			2	11	3	107	14	16	10		628	3	2
EXP2c			5	14	11	3	15	44	397		245	3	
EXP3a			4	2	21	134	324	3	18		345		88
EXP3b			8	1	10	3	563	7	24		262		20
EXP3c			3	4	12	59	33	4	25		698	3	1
MAJ1a			10	4	29	62	59	10	41		578	3	1
MAJ1b		2	3	2	34	39	268	13	380		183	1	32
MAJ1c				6	139	2	694	7	33		61	7	4
