SampleID	Unclassified Capnodiales	Alternaria metachromatica-2	Cladosporium perangustum-2	Vishniacozyma victoriae-2	Epicoccum nigrum	Alternaria metachromatica-1	Alternaria sp	Aureobasidium pullulans	Vishniacozyma victoriae-1	Gibberella acuminata	Alternaria metachromatica-3	Filobasidium sp	Unclassified Sclerotiniaceae	Vishniacozyma tephrensis	Sporobolomyces roseus	Cladosporium perangustum-1
V3C1-ITS	5			10	3		7		6	1		25	3			158
V3C2-ITS				8			15		125	1		14	8			47
V3C3-ITS	1			5	1		5		7	1		4	13			167
V3G1-ITS				1			1			6						5
V3G2-ITS										171			17			1
V3G3-ITS	13			4		1	1		1	43		1	3			24
V3Sa1-ITS	18			9		2	2		7	5		13	110			490
V3Sa2-ITS	1			1	7	3	4		5	5		1	8			243
V3Sa3-ITS	5				59	2	18					1	4			343
V3Sb1-ITS	8	9		3	3	6	87			9		17	27			476
V3Sb2-ITS	6						2					5	622			122
V3Sb3-ITS	3				1	1	1			2		8				58
V3Sc1-ITS	5			23			33		19	5		53	8		1	538
V3Sc2-ITS	3			6	17	2	4		6	1		17	5			534
V3Sc3-ITS	15			2	1		4		16	4		1	14	1		428
V3Sd1-ITS	1			1	1		1		2	1		4	8			544
V3Sd2-ITS					2							6	5			96
V3Sd3-ITS					2				33				7			176
V3Se1-ITS										4		12	5			67
V3Se2-ITS	4						5		11			2				123
S01-H0	179	4	9	56	4	29	44		143	6	7	67	1	14	13	101
S01-H24	186	5	7	24	1	43	33		113		20	46	36	12	13	87
S02-H0	121	11	4	8		44	143					18	26		22	150
S02-H24	63	8		23		84	29	7	17	10	24		330		7	191
S03-H0	274	4	97	2	2	24	55		9	1	37	5				136
S03-H24	14	4				10	14				772	4	53			70
S04-H0	17			17		12	87			5	2	3	1		1	43
S04-H24	10			1		54	51		79		69		260		39	141
S05-H0	108	6	1	16	37	53	44	2	6	2	16	10	13	4	8	297
S05-H24	118	4	2	11	10	18	19	2	4	4	4	11	27	3	7	327
S06-H0	212	11	3	17	32	51	38	1	2	2	11	9	12	3	8	339
S06-H24	119	7		17	17	31	19			3	7	6	19	3	10	359
S07-H0	259	3		33	3	18	96	7	3	6	5	25	37	2	53	172
S07-H24	211	9		27	3	55	77				11	15	112	15	70	187
S08-H0	94			1	3	2	34	4		5		5	4		1	154
S08-H24	31		1	8	1	9	17	2	2	2	5		45		2	137
S09-H0	542	3	50	20	7	26	50	1	35	2	11	11	4	1	2	114
S09-H24	174	1	29	9	5	76	18		17	1	26	1	33		1	87
S10-H0	13												4		1	881
S10-H24	14					3			1		1		28		1	856
S11-H0	55	1	2	91	3	16	126	9	7	3	7	11	4	3	13	242
S11-H24	57	1		38	8	15	118	7		3	4	10	12		16	244
S12-H0	218	20		60	2	130	54		1	1	32	42	8	1	35	218
S12-H24	155	4		58	3	126	55			6	21	46	47		10	173
S13-H0	219	2	10	4	3	54	13		9		24	1	5	1		12
S13-H24	186	5	13	6	2	76	28				42	9	29		7	50
S14-H0	266	14	27		2	152	50	2	8	2	59	7	3			42
S14-H24	241	1	24	5	2	93	26		3	3	50	16	33	7	2	102
S15-H0	91	28		49	4	248	47	1		4	70	53		2	41	47
S15-H24	56	11	5	48		74	34		2	4	40	18	278	1	17	238
S16-H0	187	21	6	15	6	160	10		71		44	30	2	22	69	177
S16-H24	56	9	8	23	3	49	44		14	4	14	68	200	3	2	257
S17-H0	353	2	15	4	4	16	4	1	23		5	6	4	1	92	305
S17-H24	133	14	14	5		51	23	6	1		3	15	74		8	335
S18-H0	56	44		77		398	111		3	1	71	16	7		2	37
S18-H24	3	27		8		323	288		1	2	97	5	30			24
S19-H0	65	2		6	9	42	125	1	2		9	5	6		2	408
S19-H24	59	3		7		67	60			3	19		280	1	2	278
S20-H0	20				3	12	10						13		16	24
S21-H0	110		8		3	12	20		1		9		15	1	9	69
S21-H24	42	6		28		46	39		9	2	11	2	330		3	256
S22-H0	63			17		3	3		3	3	1	1	298	2	2	458
S22-H24	58	1		17		4	11		1		4		316	4	9	445
S23-H0	75		15	31	5	4	4	1	4	2		4	303	2	3	387
S23-H24	95		1	35		15	15		3	2		1	292	6	5	351
S24-H0	66		71	3	1	6	21		94		3	14	2			427
S24-H24	26	1	37	12		4	5		47	1	3	10	26			496
S25-H0	12			449	2	1	1		106	2		1			28	1
S25-H24				115			1		66			86			3	1
S26-H0	179		1	7	2		134		230			10		1	9	3
S26-H24	1						3		317			10	3			
S27-H0	41			24		82	154		1		36		243			171
S27-H24	76	6		1		87	1		36			1	209			211
S28-H0	18				6	2	232		1							112
S28-H24	24	3		16	1	14	9		3		2	2	285	1		191
ITS-1Bristol-F11	187	8	7	4	31	120	1		4	6	19	1	5		3	509
ITS-2Bristol-G11	206	8	8	1	26	94	2		5	22	21	1	13	2	8	506
ITS-3Bristol-H11	191	9	9	1	22	95			5	8	33	2	3		2	501
ITS-B13T5-B12	340		22			20		12	29			31			229	45
ITS-B13T6P1-C07	294	10	7	4	22	86	2		1		20	7	5		7	225
ITS-B13T6P2-D07	391	7	24	4	23	88	3		7		18	5	1		12	328
ITS-B13T6P3-E07	351	7	19	5	47	63	5	1	7		15	4	1		16	303
ITS-B13T6P4-F07	325	10	30	2	21	184	2	32	4		32	3	1		9	263
ITS-B13T6P5-G07	256	2	12	2	25	51			1		7				6	373
ITS-B13T6P6-H07	354	6	14	1	19	173		7	1		99	2	1		3	217
ITS-B13T6P7-A08	385	16	11		32	212		3	2		21				8	206
ITS-B14T5-E12	7								1						8	
ITS-B14T6P1-H09	339	17	16	4	8	72	3		4		19		3		8	420
ITS-B14T6P2-A10	168	4	7		8	100			3		15		1		3	150
ITS-B14T6P3-B10	319	15	14	2	21	169	1		2		32		3		11	230
ITS-B14T6P4-C10	232	14	3	1	17	202	1				51	1	1		2	284
ITS-B14T6P5-D10	172	7		4	19	140			2		19	1			5	261
ITS-B14T6P6-E10	283	12	12	1	10	194	14		3		75	1	2		6	227
ITS-B14T6P7-F10	374	8		2	23	98	2		5		38	5	1		9	295
ITS-B19T6P1-G10	285	8	7	2	12	109	2		2	1	71	11	2		4	287
ITS-B19T6P2-H10	223	13	11	1	9	185		4	2		93	1			9	366
ITS-B19T6P3-A11	328	10	8	4	12	198	1	3	9		22	2	1		9	218
ITS-B19T6P4-B11	250	6		1	16	91	1	3	3		14	5			72	457
ITS-B19T6P5-C11	103	3	6	3	6	744	1	11	4		25				14	88
ITS-B19T6P6-D11	342	11	11	9	17	82	3	1	6		58	3	3		21	253
ITS-B19T6P7-E11	176	9			7	261			1		50					336
ITS-B1T5-D12	294					46		7	13						72	18
ITS-B1T6P1-A09	57	5		1	1	26			1		6		1		2	903
ITS-B1T6P2-B09	251	8	3		21	63	3		9		23	2	4	1	12	499
ITS-B1T6P3-C09	56				4	15					4	2			1	740
ITS-B1T6P4-D09	246	8		1	24	63		2	2		22	1			8	375
ITS-B1T6P5-E09	200	7		5	17	66	2		2		8	2	1		2	251
ITS-B1T6P6-F09	207	2	6	1	14	51	4		6		9		2		6	222
ITS-B1T6P7-G09	169	6	6		3	65	2	1	5		17	3			1	237
ITS-B20T5-C12	487		15		3	28		10	5			26			196	20
ITS-B20T6P1-B08	302	2	9		22	39		4	2		10	2	2		9	462
ITS-B20T6P2-C08	245	7		1	32	49	94	2	1		10			1	13	378
ITS-B20T6P3-D08	367	12	11	2	20	51	1	3	11	1	23	4	1		14	289
ITS-B20T6P4-E08	313	11	32	3	27	115	6	5	9		31	3	2	1	13	248
ITS-B20T6P5-F08	271	13			34	169			2		48	1		1	11	175
ITS-B20T6P6-G08	222	5	2		10	60	2		6		52	2	1		5	507
ITS-B20T6P7-H08	334	2	17	5	17	103		1	4		13	2	1		13	433
ITS-B5T5-A12	478					44		8	13			18			70	28
ITS-B5T6P1-D06	311	20	20	5	25	141	24	3	5		77	3	3		4	280
ITS-B5T6P3-F06	403	5		3	18	78	8		2		15	1	2		14	272
ITS-B5T6P4-G06	366	6		4	20	74	8		4		29	2	4	1	13	250
ITS-B5T6P5-H06	366	17	7	3	22	155	7	2	7		29		6		11	362
ITS-B5T6P6-A07	109	6			14	50	3		2		22				8	777
ITS-B5T6P7-B07	369	10		7	15	105	12	3	4		31	5	4	2	5	309
ITS-Astrid-AF-1	261	25		44	1	275	1		70		55	23	81	6	41	38
ITS-Astrid-AF-2	224	25	1	62		267	4		101		52	14	103	10	44	24
ITS-Astrid-AF-3	212	35		61		227	10		107		43	17	84	12	60	44
ITS-Astrid-AF-4	244	22		50		242	13		99		54	29	96	7	48	29
ITS-Astrid-AF-5	234	31		89		220	10		101		29	22	107	10	38	33
ITS-Astrid-B1-1	113	6		55		82	3		65		15	45	224	1	88	100
ITS-Astrid-B1-2	108	5	1	65		67	5	2	53		9	32	253		73	107
ITS-Astrid-B1-3	110	11	1	40		73	6	1	55	1	20	34	280	6	54	96
ITS-Astrid-B1-4	117	13		54		64	4	1	69	1	15	35	219	2	85	101
ITS-Astrid-B1-5	101	7	1	69		56	5	1	58	2	2	22	227	5	81	116
ITS-Astrid-B2-1	78	6	2	74		104	4	1	61		18	44	195	1	109	45
ITS-Astrid-B2-2	84	20		56		150	2		43	2	37	43	173	3	95	45
ITS-Astrid-B2-3	83	8		48		144	3		55		14	35	213	5	95	54
ITS-Astrid-B2-4	84	19		52		161	5		70		22	38	198	5	76	65
ITS-Astrid-B2-5	74	15		50	2	133	2		84	2	22	28	235	4	88	49
ITS-Aviso-AF-1	190	16		53		121	14		114		24	9	261	3	49	51
ITS-Aviso-AF-2	206	23		83		115	20		78		25	9	239	4	55	55
ITS-Aviso-AF-3	192	25		37	2	265	16		44		59	10	189	5	43	47
ITS-Aviso-AF-4	206	22		66	2	193	8		65		33	6	201	6	41	45
ITS-Aviso-AF-5	180	39		66	1	168	5		54		31	8	182	1	23	41
ITS-Aviso-B1-1	90	13		41		144	9		42		28	28	255	3	86	59
ITS-Aviso-B1-2	85	10		47		100	5	1	51		14	27	279	2	105	56
ITS-Aviso-B1-3	76	7		49		66	5		35	2	9	28	382	4	72	54
