SampleID	Erwinia persicina	Pseudomonas fluorescens-1	Pseudomonas fluorescens-3	Pseudomonas viridiflava-2	Pantoea agglomerans-2	Cutibacterium acnes	Pseudomonas antarctica	Pseudomonas fluorescens-2	Stenotrophomonas sp	Pseudomonas poae	Pantoea agglomerans-1	Unclassified Clostridiales	Pantoea agglomerans-3	Pseudomonas viridiflava-1	Paenibacillus sp-1	Rhizobium sp	Pseudomonas viridiflava-3	Paenibacillus sp-2
S01-H0	8	14		8	12	17	4	1	2	1	32		11	9			12	
S01-H24				1	1						6		920					
S02-H0						11					3							
S02-H24		100				256	98				26		15					
S03-H0		1			1	2												
S03-H24		9				5	6				844		5					
S04-H0	37	9		1	21	19	9				196		45	436			9	
S04-H24		13			892	1	21							2				
S05-H0	6	2			3						723		28	77			77	
S05-H24	32	12			91	10	16		4		207	1	13	131	6			
S06-H0	21	1			12				2		38		189	19				
S06-H24	321	2		204		3	1				2		2	4				
S07-H0	8										34				8			
S07-H24	2	7									135		113	172	36			
S08-H0	58	6	8	1	20	81	2		4		104		37	5	6			
S08-H24		85		2	5	78	82				51		1					
S09-H0		53		9	3	53	44				13		1	1		6		
S09-H24		6				13	2								1			
S10-H0		4				20	4				2	1						
S10-H24		71	8		7	28	48											
S11-H0	3	21		2	1	53	27		3		16			6			10	
S11-H24		115				88	103				50	1	6	4	3	1	77	
S12-H0	52	10	54	3	47	2	1		4		213	25	69	20	72	2	11	3
S12-H24	1		3				1		1		681	4	9		50			
S13-H0	1	127				23	19	21	2		19		7			5		
S13-H24		859				29	9											
S14-H0		26				57	20				12							
S14-H24		161				70	78				13			2				
S15-H0	122	3		1	86	3	4		4		122	6	3	26	31	2		
S15-H24	2	2				2	3				163							
S16-H0	1	5				37	5		3		10					8		
S16-H24		12				6	13				437							
S17-H0	2	3		1		10	3				2					1		
S17-H24		78				44	20				3	5						
S18-H0	4	3		70	21				9		663	2			32		1	
S18-H24		5		304							1					1		
S19-H0		52	23	40	16	14	2				329	1	12	16	3		1	
S19-H24		1					1				6	4			55			
S20-H0		129		10		367	122				6						8	
S20-H24		22				18	17				2				1			
S21-H0		28		4	21	125	35				30		141					
S21-H24	1	15					2		1		7	3		2	26			
S22-H0	5	22		2	3	23	34		1		5							
S22-H24		45		5		24	71				10		281			2		
S23-H0	6	88			10	62	108				48							
S23-H24	1	25				103	46				101	1	50	4	15		5	
S24-H0		72				69	65				85		9				4	
S24-H24		8		5			2				220		19		3			
S25-H0	12			18	64						83	2	28	12	3	7	64	
S25-H24	4			10	15						9	4	14		24	6	19	
S26-H0	1												47				1	
S26-H24	5	1			77			1			259		21	15			10	
S27-H0		57				130	54											
S27-H24		87		9	3	148	80				7					5		
S28-H0											9							
S28-H24											2							
AST1a	8			1	1	77					409	1	3		4			
AST1b	11	2			2	68					5	35	34	35	68			
AST1c	36	2		44		120			4		69	21	112		31	1		
AST2a	49	2		1	3	103		1			37		3		2		10	
AST2b	103	19			5	262		132			47	2	32		21			
AST2c	270	6		21		51					225	1	15		6			
AST3a	456	2		5	1	4					29		7		4		6	
AST3b	167			2	3						683			2				
AST3c	44			3		4					46		525	8			12	
AVI1a	207	1		133		3			3		126	10	14	7	34			
AVI1b	11	6		14	5	4					753		6		4			
AVI1c	108										18				39			
AVI2a	174			1	22						118		75		16			
AVI2b	497			12	3	3					21	19			2			
AVI2c	34			3	32	18					195	2	3	1	19	1		
AVI3a					12	7					17				14			
AVI3b	42	1		1							56		19	19	13	1		
AVI3c	4	2		1		27		1			202							
BOS1a	40			4	4	3					72		11	39	4			
BOS1b	10	1		24		1					825		13		6			
BOS1c	5					3					187	1	296		10			
BOS2a	300	1		78	3						397	3	7		5		1	
BOS2b	203			1							77		631				3	
BOS2c	143			4							266		488		2		4	
BOS3a	271	2		3	3	32					105	1	12	4			1	
BOS3b	11			21		6					551		113				1	
BOS3c	17	2		6	2	9					813	1	2	1	3			
COL1a	45			20		91					285		47		14			
COL1b	89			10		11					801	2	4	4	19		2	
COL1c	221	3		25	2	35					61	4	3	6	13	2	1	1
COL2a	179	2		2	4	18		1			163	6	36	3	2		1	
COL2b	31	10		17	55	55			7		247	4	21	1	12		1	
COL2c	29	1		88	15	2					191	3	126	1	7	1		
COL3a	15	5		32	3	5			1		56	1	364	64	3		2	
COL3b	23	478		3		6					54		1	2	8			
COL3c	70			1		4					308		264	21				
EXP1a	5			53							330	1	222		9		1	
EXP1b	29			1	3						51		9					
EXP1c				7	405						557		6					
EXP2a	276	1			3	1					17		12	35	2			
EXP2b	9			7	2	1					674		5	2	3			
EXP2c	17	2		278	67	2			1		280		11	3	3	1		
EXP3a	339			5							245		14		2			
EXP3b	495			17	5	14					4	5	180		11			
EXP3c	27			9		26					630	5			1			
MAJ1a	61			12		16		3			523	4	5		14		1	
MAJ1b	365	1		4		12					225	7	1	1	1	1		
MAJ1c	654	2		4	1	7					49	7	15	3	5			
MAJ2a	12			14	11	4					477		123	6	9		10	
MAJ2b	74			6	5	44			3	1	314	1	9	4	55		1	
MAJ2c	29	57		2	4	6					566	6	9	2	3		1	
MAJ3a	13			7		3					784	4		16				
MAJ3b	79			171	10	9					135	2	9	6	18	1	1	
MAJ3c	404	2		174	2	4		1			56	1	24	3	12		21	
MOH1a	26			1	1	4				159	299		254				2	2
MOH1b	32	1		63	5					1	796	1	4		12			
