SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
5bc1f886ec22c059eb001f7475c2cb94	Bean	6840	43	4	50	50000	13.68	86	Core
0b9dced9eb1dee80b0bde5f2f7cd941a	Bean	3371	28	4	50	50000	6.742	56	Core
98f0f60f258cd85c10018d2eb09936e1	Bean	3805	25	4	50	50000	7.61	50	Core
31bc0ece704ef19df80ee7eb00457fcc	Bean	1654	20	4	50	50000	3.308	40	Flexible
2a81be97f121abe5a9c41c41c36b09f0	Bean	664	17	3	50	50000	1.328	34	Flexible
3154dc9ae59090f7a1d3fc0f4f64d4c6	Bean	946	16	4	50	50000	1.892	32	Flexible
1e6ab0d84eb29c6ff0a2dfcba2ecd4d6	Bean	11436	13	1	50	50000	22.872	26	Flexible
1c094d683d5b9e78f0f505583d0e5ab5	Bean	260	12	1	50	50000	0.52	24	Flexible
1187e53d4fd05677e64b76d9827f5651	Bean	312	11	3	50	50000	0.624	22	Flexible
34e8032967f4988dc7e51f1cda12ae32	Bean	358	11	3	50	50000	0.716	22	Flexible
3f819209f1360b5643ec52d64568f75e	Bean	46	11	1	50	50000	0.092	22	Flexible
4082a31fe53874f76b4c54514bc95abd	Bean	4183	11	1	50	50000	8.366	22	Flexible
be0132630d664f11ae26116510762a2d	Bean	35	10	3	50	50000	0.07	20	Flexible
570a9ff07c4446b5b4c7b46f6d832596	Bean	33	9	3	50	50000	0.066	18	Flexible
7ca8735963eec73a51cb8fcca4d151d6	Bean	446	9	1	50	50000	0.892	18	Flexible
b2d2cf764226a1afa9aaa1310a7d8180	Bean	51	9	2	50	50000	0.102	18	Flexible
eb96fadb4fe12c694a57426fceae5e3b	Bean	30	9	2	50	50000	0.06	18	Flexible
f33a6d5ebef55adb3131d8704c29c83f	Bean	833	9	1	50	50000	1.666	18	Flexible
a04f855030824ca1808b9db86620f0db	Bean	193	8	3	50	50000	0.386	16	Flexible
416be5d8329f69a14f4be26003538155	Bean	147	7	1	50	50000	0.294	14	Flexible
ab4c0c4bcc687a200d8cdedfaefc4adc	Bean	41	7	3	50	50000	0.082	14	Flexible
0e1347d886173d567f492d465a22b984	Bean	30	6	1	50	50000	0.06	12	Flexible
14946e08495f7662ebb0c14898f7f499	Bean	61	6	1	50	50000	0.122	12	Flexible
3ca7925a1bf2b8214ec8e69b017ab244	Bean	326	6	1	50	50000	0.652	12	Flexible
53800c2adbd7ead2c04b0bb00687d271	Bean	344	6	3	50	50000	0.688	12	Flexible
bda24763f09e621dfc70624662fbbc17	Bean	22	6	2	50	50000	0.044	12	Flexible
c5c09db200804811390bb156b89243a0	Bean	22	6	2	50	50000	0.044	12	Flexible
c8087fa3373671688257c0be3fd34496	Bean	14	6	2	50	50000	0.028	12	Flexible
d85db0e512cb9e03b99e0d53c77c3e03	Bean	62	6	2	50	50000	0.124	12	Flexible
e5b03a32044be702987d138a837b0d17	Bean	272	6	3	50	50000	0.544	12	Flexible
